Hindi,Bhili
मैं एक लड़का हूँ।,हूँ एक सौरो से।
वह एक लड़की है।,त्‍यां एक सौरी से।
मेरा नाम भारत है।,म्‍हारू नाम भारत से।
मेरी बहन पढ़ती है।,म्‍हारी बुहन भणे से।
हम साथ में स्‍कूल जाते हैं।,हमु भेड़ा भणवा जाऐ से।
प्रिया रीना भी आती है।,प्रिया अन रिना पण आवे से।
आज छुट्टी है।,आज़ सुट्टी से।
खेत पर जायेंगे।,खेतर मा ज़ाहू।
बकरियाँ भी साथ ले जायेंगे।,बोकडां पण हाते ली जाहूँ।
हम मिलकर खेलेंगे।,हमु मळिन रमहूँ।
फल खायेंगे।,फोळ खाहूँ।
नदी में नीर स्‍वच्‍छ है।,नंदी मा पाणी नज़ साफ से।
नदी के पानी में नहायेंगे।,नदी ना पाणी मा उंगळहूँ।
मछली पानी में तैरती है।,मासळी पाणी मा तीरे से।
मुझे बाहर जाना है।,मन बाहेरू जावु से।
सूर्य अस्‍त हो रहा है।,बाबो दन बुढि़गयों से।
अंधेरा हो गया है।,इंदारू थाई ग्‍यू से।
कपड़े पहनो।,सितरां पैरो।
जल्‍दी चलो।,झट साळो।
उधर मत जाना।,तई मत ज़ावो।
चांद उग आया।,सांद उगी ग्‍यो।
चिडि़या चहक रही है।,सरकळी सिसाइरी से।
गुडिया देखो सामने।,नानी हामे देख।
गिरना नहीं।,पड़वु नथी।
पेड़ के ऊपर पंछी बैठे हैं।,रूखडां पर पोदियां बठा से।
घोंसले भी हैं।,झंडा पण मलेलां से।
अण्‍डे भी रखे हैं।,इण्‍डा पण मेलेलां से।
हम आ गये।,आइया हमु आवी गी।
कपड़े सुखाओं।,सितरां हुकाडो।
जूते उतारो।,खाहड़ा काडो।
टोकरी में बेर रखे हैं।,टोपळी मा बोरू मेलैला से।
इधर- उधर मत रखों।,अई-वई मती जावो।
तुम यहां बैठो।,तमु आ बहो।
मैं अभी आई।,हूँ हमणेस आवी।
चमहा तो नहीं है।,उंदरो ते नथी।
अरे ! देखो तो ।,अरें ! भाळो ते खरी।
सामने तोता बैठा है।,हामे हुडो बठो से।
हमें मिलकर रहना है।,हमुन मळिन रेवु से।
पशु घास चरते हैं।,डगरां सारू खाये से।
पक्षी दाना चुगते हैं।,पंखीवर दाणा खाई से।
लीला कल आई थी।,लीलां काले आवी से।
साथ में रमिला भी थी।,हाते रमिला पण आवी।
दादी ने उसे बुलाया था।,डाही आइयें तिनान बोलावी ली से।
रोशनी और सारंगी झूला झूल रही हैं।,रोशनी अन हारंगी हिसलो हिस हिसे से।
बगीचे में रंग-बिरंगे फूल खिले हैं।,वगीसा मा भात-भात ना फुळडां डगी जा से।
ति‍तलियॉं फूलों पर बैठी है।,फुदियो फुळडां पर बठी से।
उधर भॅवरा भी है।,तई भमरो पण से।
ओ ! यह मकड़ी का जाल है।,"ओ, आं माकड़ू पण से।"
मकड़ी एक ही रात में जाला बनाती है।,माकड़ी एक रात मा ज़ाळू बणावे से।
रमेश जाल को देखो।,रमेश ज़ाळ ने भाळो।
चौकीदार आ रहा है।,सोकीदार आवीरयो से।
अपने आस-पास देखो।,आपणां आहे-पाहे भाळो।
यह प्रकृति है।,आ कुदरत से।
हम प्रक़ति के पुत्र हैं।,हमो प्रकृति ना बेटा से
इनकी रक्षा करनी चाहिए।,इनी देख-भाळ करवी ज़ोए।
जब भी जरुरत पड़े सहयोग करना चाहिए।,जै़र पण काम पड़े हमुन मदद करवी ज़ोऐ।
ये बाहर से आए हैं।,ई बाहेरथी आयां से।
इन्‍हें पानी दो।,इन्‍हूंन पाणी आळो।
हाथ जोड़कर नमस्‍ते करो।,हाथ ज़ोडिन ज़ोहार करो।
देर हो गई।,वार थाई ग्‍यी।
कोई बात नहीं।,कोई वात नी।
सभी को बोलना है।,वदां ने बोलावुं से।
आपका मत देना है।,तमारां विश्‍यार आलवो से।
समय पर काम करना है।,टेम पर काम करवुं से।
जैसा है वैसा करो।,ज़ेम थाई तेम करो।
प्रार्थना करों !,अरज करें।
एकाग्रता बनाये।,साना थाई रो।
शोरगुल मत करो।,गागरों मति।
"रूको, जल्‍दी मत करो।",थोबावो उतावळ मति करो।
सब मिलकर हाथ उठाओं।,बदां मळिन हाथ उबा करो।
अरे ! ठीक है।,औ ! ढंग ही।
हॉं !ठीक है।,"हो, बराबर से।"
जैसा करो।,ऐम करो।
वैसा करो।,तेवु करो।
देखें जो भी होगा करेंगे।,भाळिऐं ज्‍यूं पण थाई करे।
भरोसा है।,भरोहो से।
हार नहीं मानना।,हार नी मानवी।
हिम्‍मत करो।,इम्‍मत करो।
बहाना आलस्‍य का काम है।,बानू ओज़गया नु काम से।
आना-जाना करना है।,आवण-ज़ावण करवुं से।
उससे संबंध ठीक रहते हैं।,तिनही आपणो हेत नज़ रेसे।
कोई काम कठिन नहीं होता है।,कइनु पण काम काठू नथ रेसे।
अपना अधिकार क्‍या है ?,आपणो हक हूँ से ?
हमें जानना चाहिऐं।,हमुन ज़ाणवु ज़ोऐं।
हमारे कर्तव्‍य भी हैं।,हमारी ज़पावदारी पण से।
उनको समझना चाहिए।,तिहूँने हमज़वु ज़ोऐं।
हर बात की जानकारी होना चाहिए।,बदी वात नी माहिती होवी ज़ोवे।
